960084705,02/27/2023 01:07:00 PM,NO PLATES,295 23RD AVENUE San Francisco CA, POINT(-122.48275622499995 37.78233751500005)
960153176,02/27/2023 01:07:00 PM,STR CLEAN,302 LAKE ST San Francisco CA, POINT(-122.46263216999995 37.786770481000076)
960243642,02/27/2023 01:07:00 PM,STR CLEAN,436 LAKE ST San Francisco CA, POINT(-122.46403459899994 37.78670949100007)
960354430,02/27/2023 01:07:00 PM,STR CLEAN,330 LAKE ST San Francisco CA, POINT(-122.46289414599994 37.78675964700005)
959859865,02/27/2023 01:07:00 PM,MTR OUT DT,1706 HAIGHT ST San Francisco CA, POINT(-122.45086093699996 37.76951364200005)
960265714,02/27/2023 01:07:00 PM,STR CLEAN,2026 GREAT HWY San Francisco CA, POINT(-122.50785767099995 37.748549928000045)
960249872,02/27/2023 01:07:00 PM,MTR OUT DT,1227 SUTTER ST San Francisco CA, POINT(-122.42053930499998 37.78769754100006)
960191481,02/27/2023 01:07:00 PM,RES/OT,299 ARBALLO DR San Francisco CA, POINT(-122.48298348099996 37.720931818000054)
960274475,02/27/2023 01:08:00 PM,YEL ZONE,2714 MISSION STREET San Francisco CA, POINT(-122.41856998399999 37.75351804500008)
960354441,02/27/2023 01:08:00 PM,STR CLEAN,340 LAKE ST San Francisco CA, POINT(-122.46298770899995 37.78675577800004)
959747316,02/27/2023 01:08:00 PM,NO PLATES,2397 WASHINGTON ST San Francisco CA, POINT(-122.43257759399995 37.79181633600007)
960166336,02/27/2023 01:08:00 PM,STR CLEAN,502 LAKE ST San Francisco CA, POINT(-122.46479673099998 37.78667324600008)
960282956,02/27/2023 01:08:00 PM,STR CLEAN,1232 QUESADA AVENUE San Francisco CA, POINT(-122.38278260299995 37.72843450900007)
960153180,02/27/2023 01:08:00 PM,STR CLEAN,310 LAKE ST San Francisco CA, POINT(-122.46270701999998 37.786767386000065)
959878205,02/27/2023 01:08:00 PM,DBL PARK,940 SUTTER ST San Francisco CA, POINT(-122.41587852199996 37.788305223000066)
960224683,02/27/2023 01:08:00 PM,RES/OT,90 ROSSI AVE San Francisco CA, POINT(-122.45609722299997 37.77777153100004)
960351545,02/27/2023 01:08:00 PM,STR CLEAN,3703 RIVERA ST San Francisco CA, POINT(-122.50606089799999 37.74545002200006)
960265725,02/27/2023 01:08:00 PM,STR CLEAN,2022 GREAT HWY San Francisco CA, POINT(-122.50786607899994 37.74861387900006)
959954741,02/27/2023 01:09:00 PM,N/ W/I SPC,1347 FOLSOM ST San Francisco CA, POINT(-122.41226432299999 37.773244326000054)
960183685,02/27/2023 01:09:00 PM,RES/OT,2600 CLAY ST San Francisco CA, POINT(-122.43597912399997 37.79049170900004)
960153191,02/27/2023 01:09:00 PM,STR CLEAN,550 LAKE ST San Francisco CA, POINT(-122.46523501399997 37.78665505300006)
960166340,02/27/2023 01:09:00 PM,STR CLEAN,524 LAKE ST San Francisco CA, POINT(-122.46499761099994 37.786664907000045)
960351556,02/27/2023 01:09:00 PM,STR CLEAN,3339 RIVERA ST San Francisco CA, POINT(-122.50210290399997 37.745621681000046)
960243653,02/27/2023 01:09:00 PM,STR CLEAN,510 LAKE ST San Francisco CA, POINT(-122.46486977799998 37.786670213000036)
960100282,02/27/2023 01:09:00 PM,YEL ZONE,857 BRANNAN ST San Francisco CA, POINT(-122.40467579199998 37.77188151000007)
960249883,02/27/2023 01:09:00 PM,MTR OUT DT,1215 SUTTER ST San Francisco CA, POINT(-122.42037334399998 37.78771866400007)
960354452,02/27/2023 01:09:00 PM,STR CLEAN,614 LAKE ST San Francisco CA, POINT(-122.46597157699995 37.78661493000004)
959835240,02/27/2023 01:10:00 PM,DRIVEWAY,2112 PINE ST San Francisco CA, POINT(-122.43065674999997 37.78833564800004)
960351560,02/27/2023 01:10:00 PM,STR CLEAN,3337 RIVERA ST San Francisco CA, POINT(-122.50208450499997 37.745622439000044)
960224694,02/27/2023 01:10:00 PM,RES/OT,90 ROSSI AVE San Francisco CA, POINT(-122.45609722299997 37.77777153100004)
960354463,02/27/2023 01:10:00 PM,STR CLEAN,620 LAKE ST San Francisco CA, POINT(-122.46602662199996 37.78661249500004)
960166351,02/27/2023 01:10:00 PM,STR CLEAN,802 LAKE ST San Francisco CA, POINT(-122.46800181399999 37.78653578600006)
960243664,02/27/2023 01:10:00 PM,STR CLEAN,736 LAKE ST San Francisco CA, POINT(-122.46724321499994 37.78657134300005)
959945291,02/27/2023 01:10:00 PM,BLK BIKE L,475 VALENCIA ST San Francisco CA, POINT(-122.42191929299997 37.76535355300007)
960265736,02/27/2023 01:10:00 PM,STR CLEAN,3904 QUINTARA ST San Francisco CA, POINT(-122.50722047099998 37.74727586700004)
960254831,02/27/2023 01:10:00 PM,MC PRKING,909 HYDE ST San Francisco CA, POINT(-122.41704792099995 37.789250432000074)
960153202,02/27/2023 01:10:00 PM,STR CLEAN,650 LAKE ST San Francisco CA, POINT(-122.46630184699995 37.78660031700008)
960090320,02/27/2023 01:10:00 PM,STR CLEAN,1246 QUESADA AVE San Francisco CA, POINT(-122.38300691299997 37.728561859000024)
960339973,02/27/2023 01:10:00 PM,STR CLEAN,500 WILDE AVE San Francisco CA, POINT(-122.40734531799995 37.71785018400004)
960243675,02/27/2023 01:11:00 PM,STR CLEAN,750 LAKE ST San Francisco CA, POINT(-122.46737155599999 37.786565361000044)
960265740,02/27/2023 01:11:00 PM,STR CLEAN,3844 QUINTARA ST San Francisco CA, POINT(-122.50657671299996 37.74730481100005)
959995875,02/27/2023 01:11:00 PM,YEL ZONE,819 MONTGOMERY ST San Francisco CA, POINT(-122.40358351399999 37.79681956600007)
960339984,02/27/2023 01:11:00 PM,STR CLEAN,491 WILDE AVE San Francisco CA, POINT(-122.40697961199999 37.71773824600007)
960166362,02/27/2023 01:12:00 PM,STR CLEAN,924 LAKE ST San Francisco CA, POINT(-122.46927993799994 37.78647597300005)
960265751,02/27/2023 01:12:00 PM,STR CLEAN,3806 QUINTARA ST San Francisco CA, POINT(-122.506227121 37.74732052300004)
960354474,02/27/2023 01:12:00 PM,STR CLEAN,846 LAKE ST San Francisco CA, POINT(-122.46840812099998 37.786516077000044)
960183696,02/27/2023 01:12:00 PM,RES/OT,2600 CLAY ST San Francisco CA, POINT(-122.43597912399997 37.79049170900004)
960351571,02/27/2023 01:12:00 PM,STR CLEAN,3137 RIVERA ST San Francisco CA, POINT(-122.49993785199996 37.74571735600006)
959945302,02/27/2023 01:13:00 PM,OBSTRCT TF,367 VALENCIA ST San Francisco CA, POINT(-122.42208125499997 37.76702815800007)
960265762,02/27/2023 01:13:00 PM,STR CLEAN,3808 QUINTARA ST San Francisco CA, POINT(-122.50624552099998 37.747319696000034)
960153213,02/27/2023 01:13:00 PM,STR CLEAN,950 LAKE ST San Francisco CA, POINT(-122.46951823699999 37.78646611800008)
960351582,02/27/2023 01:13:00 PM,STR CLEAN,3131 RIVERA STREET San Francisco CA, POINT(-122.49988265299999 37.745719837000024)
960354485,02/27/2023 01:13:00 PM,STR CLEAN,1010 LAKE ST San Francisco CA, POINT(-122.47022094599998 37.78643639300003)
960243686,02/27/2023 01:13:00 PM,STR CLEAN,944 LAKE ST San Francisco CA, POINT(-122.46946324499999 37.786468392000074)
960145826,02/27/2023 01:13:00 PM,YEL ZONE,2024 POLK ST San Francisco CA, POINT(-122.42162557399996 37.79529214200005)
960166373,02/27/2023 01:13:00 PM,STR CLEAN,1002 LAKE ST San Francisco CA, POINT(-122.47014762299995 37.786439700000074)
960235113,02/27/2023 01:14:00 PM,STR CLEAN,3039 RIVERA ST San Francisco CA, POINT(-122.49888532899996 37.74576476800007)
960153224,02/27/2023 01:14:00 PM,STR CLEAN,1300 LAKE ST San Francisco CA, POINT(-122.47334196499997 37.78629179200004)
960183700,02/27/2023 01:14:00 PM,RES/OT,2700 CLAY ST San Francisco CA, POINT(-122.43762663799998 37.79028265900007)
960036195,02/27/2023 01:14:00 PM,PLT LEF/AT,123 SOUTH VAN NESS AVE San Francisco CA, POINT(-122.41960770499998 37.776613455000074)
960354496,02/27/2023 01:14:00 PM,STR CLEAN,1016 LAKE ST San Francisco CA, POINT(-122.47027593799999 37.786433912000064)
959117036,02/27/2023 01:15:00 PM,METER DTN,500 MISSION ST San Francisco CA, POINT(-122.397636896 37.789720611000064)
960166384,02/27/2023 01:15:00 PM,STR CLEAN,1428 LAKE ST San Francisco CA, POINT(-122.47474017899998 37.78622811300005)
960243690,02/27/2023 01:15:00 PM,STR CLEAN,1402 LAKE ST San Francisco CA, POINT(-122.47449023399997 37.786241551000046)
